,wine_name,taster,desc,rating,Price,Designation,Variety,Appellation,Winery,Alcohol,Bottle Size,Category,Date Published,User Avg Rating,Importer,badge
737,Meeker 2015 Scharf Family Vineyard Cabernet Sauvignon (Dry Creek Valley),Virginie Boone,"An herbal, earthy nose leads to high-toned flavors of cassis and red currant in this red wine, which becomes full bodied and thickly concentrated on the midpalate.",87,$55,Scharf Family Vineyard,Cabernet Sauvignon,"Dry Creek Valley, Sonoma, California, US",Meeker,14.9%,750 ml,Red,1/1/2020,Not rated yet [Add Your Review],,
738,Kirkland Signature 2011 Cuvée de Nalys Red (Châteauneuf-du-Pape),Joe Czerwinski,"A $20 Châteauneuf-du-Pape? Yup, and it's pretty darn good, too. Thyme and clove notes accent the black cherry fruit, and meaty, savory flavors emerge on the palate. It's  appropriately full bodied and perhaps a bit rustic, but satisfying. Drink now and over the next few years.",89,$20,Cuvée de Nalys,Rhône-style Red Blend,"Châteauneuf-du-Pape, Rhône Valley, France",Kirkland Signature,14.5%,750 ml,Red,12/31/2013,Not rated yet [Add Your Review],DC Flynt MW Selections,Editors' Choice
739,Albert Bichot 2018 Domaine Long-Depaquit Montée de Tonnerre Premier Cru  (Chablis),Anne Krebiehl MW,"Lifted and ethereal notes of dried and fresh lemon peel dominate this wine's open nose. On the palate, the focus shifts to a cool, intense, chalky core around which freshness and juiciness are bundled. This is concentrated and bright, carrying a cool, stony undertone. Drink 2025–2040.",94,$73,Domaine Long-Depaquit Montée de Tonnerre Premier Cru,Chardonnay,"Chablis, Burgundy, France",Albert Bichot,13%,750 ml,White,12/31/2020,Not rated yet [Add Your Review],Albert Bichot USA,Cellar Selection
740,Ringbolt 2007 Cabernet Sauvignon (Margaret River),Joe Czerwinski,"From Robert Hill Smith's (Yalumba) western outpost, this is a medium-bodied, crisp Cabernet with leafy, tea-like notes, decent cassis fruit and a touch of chocolate. Finishes tart and slightly dusty, but probably not for long cellaring; drink now-2015.",86,$17,,Cabernet Sauvignon,"Margaret River, Western Australia, Australia",Ringbolt,14.5%,750 ml,Red,11/1/2009,Not rated yet [Add Your Review],Negociants USA–The Winebow Group,
741,Cusumano 2009 Syrah (Sicilia),,"A great value wine, Cusumano's cheerful Syrah is aged in stainless steel to lock in its fresh berry nuances. The wine's texture is clean and simple, but nicely smooth and soft as well.",86,$10,,Syrah,"Sicilia, Sicily & Sardinia, Italy",Cusumano,14%,750 ml,Red,4/1/2012,Not rated yet [Add Your Review],Vin Divino,Best Buy
742,Château de Béru 2010  Chablis,Roger Voss,"This is ripely tropical, with mango and spice notes that are edged with a more yeasty character, giving an unbalanced quality to this otherwise opulent wine.",84,N/A,,Chardonnay,"Chablis, Burgundy, France",Château de Béru,12.5%,750 ml,White,11/1/2012,Not rated yet [Add Your Review],Acid Inc Selections,
743,Terrapura 2018 Reserva Carmenère (Colchagua Valley),Michael Schachner,"Foxy berry and milk chocolate aromas lead to a muscular palate that's a bit soupy and thick. Heavy oak and related chocolaty flavors leave little room for expression of fruit, while this turns toward green on a warm finish.",84,$12,Reserva,Carmenère,"Colchagua Valley, Chile",Terrapura,13.5%,750 ml,Red,7/1/2019,Not rated yet [Add Your Review],Quintessential Wines,
744,Nals Margreid 2016 Pinot Grigio (Alto Adige),Kerin O’Keefe,"Delicately scented, this opens with aromas of white flower and a whiff of orchard fruit. The fresh palate offers lemon and pear alongside bright acidity and a tangy hint of crushed oyster shell.",89,$20,,Pinot Grigio,"Alto Adige, Northeastern Italy, Italy",Nals Margreid,12.5%,750 ml,White,12/1/2017,Not rated yet [Add Your Review],Massanois Imports,
745,Elio Grasso 2011 Ginestra Casa Maté  (Barolo),Kerin O’Keefe,"Full-bodied and intense, this delicious wine opens with aromas of woodland berry, star anise, chopped herbs, underbrush and a whiff of light oak. The firm palate doles out ripe black cherry, licorice, sage and chopped mint alongside big, velvety tannins and fresh acidity.",94,N/A,Ginestra Casa Maté,Nebbiolo,"Barolo, Piedmont, Italy",Elio Grasso,14.5%,750 ml,Red,11/1/2015,Not rated yet [Add Your Review],Martin Scott Wines,
746,Ventisquero 2009 Reserva Pinot Noir (Casablanca Valley),Michael Schachner,"A fuller, more California style of Pinot with reduced black cherry and cough drop aromas followed by a medium-round palate with sweet cherry, chocolate and herbal flavors. It's hefty but not fat or flabby, with cola and medicinal aftertastes.",85,$13,Reserva,Pinot Noir,"Casablanca Valley, Chile",Ventisquero,13.5%,750 ml,Red,12/31/2010,Not rated yet [Add Your Review],Austral Wines,
747,Patria 2018 Femina Bianco  (Etna),Kerin O’Keefe,Whiffs of yellow wildflowers and white stone fruit form the subtle nose. The lean palate offers mere suggestions of pear and Meyer lemon alongside racy acidity.,85,N/A,Femina Bianco,White Blend,"Etna, Sicily & Sardinia, Italy",Patria,13%,750 ml,White,12/1/2019,Not rated yet [Add Your Review],Opera Wine Imports,
748,Chakana 2004 Estate Selection Red (Luján de Cuyo),Michael Schachner,"Heavily toasted and loaded with black cherry and blackberry aromas, this blend of Cabernet, Malbec and Petit Verdot pushes cola, chewy plum and black-fruit flavors. The back end is all about coffee, mocha and bitter chocolate, and as a whole this wine shows Argentina in a fine light. As for the winery, Chakana almost always gets it right.",91,$25,Estate Selection,"Red Blends, Red Blends","Luján de Cuyo, Mendoza Province, Argentina",Chakana,14%,750 ml,Red,12/1/2007,Not rated yet [Add Your Review],Tastings Import Company,
749,Venica & Venica 2015 Ronco del Cerò Sauvignon (Collio),Kerin O’Keefe,"This opens with subtle aromas suggesting white flower, hay and dried aromatic herb. The medium-bodied palate offers juicy yellow peach and a hint of grapefruit while a salty hint of mineral marks the close.",88,N/A,Ronco del Cerò,"Sauvignon, Sauvignon Blanc","Collio, Northeastern Italy, Italy",Venica & Venica,13.5%,750 ml,White,8/1/2017,Not rated yet [Add Your Review],Grand Cru Selections,
750,Covenant 2016 Solomon Lot 70 Cabernet Sauvignon (Napa Valley),Virginie Boone,"This wine is sourced from vineyards in Mount Veeder and Oakville planted by the late Leslie Rudd. Tannic, it is layered in black licorice, black pepper and high-toned red fruit. Structured and powerfully full bodied, it retains underlying freshness that keeps it balanced and complex.",91,$150,Solomon Lot 70,Cabernet Sauvignon,"Napa Valley, Napa, California, US",Covenant,14.5%,750 ml,Red,12/1/2020,Not rated yet [Add Your Review],,
751,Varvaglione Vigne & Vini 2013 Schiaccianoci Red (Salento),Kerin O’Keefe,"A blend of Negroamaro and 15% Malvasia Nera, this opens with aromas of dark berry and toast. The palate offers ripe blackberry, black cherry, mocha and allspice alongside firm tannins. It ends on a note of bitter almond.",87,$18,Schiaccianoci,"Red Blends, Red Blends","Salento, Southern Italy, Italy",Varvaglione Vigne & Vini,13.5%,750 ml,Red,3/1/2015,Not rated yet [Add Your Review],Nawrocki Imports,
752,Giacomo Fenocchio 2007 Bussia  (Barolo),,"From the celebrated Bussia cru, this elegant Nebbiolo opens with aromas of candied fruit, cherry liqueur, licorice and soft spice. There's a touch of white mineral and chopped mint or garden herb at the back and the wine ends with a long, velvety feel.",91,$58,Bussia,Nebbiolo,"Barolo, Piedmont, Italy",Giacomo Fenocchio,N/A,750 ml,Red,9/1/2011,Not rated yet [Add Your Review],Masciarelli Wine Co,
753,Terre Rouge 2006 Sentinel Oak Vineyard Pyramid Block Syrah (Shenandoah Valley (CA)),,"Here's a big, juicy, imposingly rich Syrah that's so stuffed with primary fruit character, it needs time in the cellar to come around. Tasted in January, it's enormous in sweet, jammy blackberries, melted milk chocolate, licorice, cherry pie filling and all kinds of peppery spices. Better sometime in 2010, and could become quite dramatic after that.",92,$40,Sentinel Oak Vineyard Pyramid Block,Syrah,"Shenandoah Valley (CA), Sierra Foothills, California, US",Terre Rouge,14.5%,750 ml,Red,7/1/2009,Not rated yet [Add Your Review],,Cellar Selection
754,Edna Valley Vineyard 2012 Reserve Cabernet Sauvignon (Paso Robles),Matt Kettmann,"Hearty aromas of plum and dried black cherries are bolstered by warm cedar tones, a touch of tar, crushed peppercorns and chopped garden herbs. The palate is complex, with lots of acidity and peppery spice, showing flavors of oregano and marjoram on a base of plum fruit. It's dense with flavors but medium in body, and very lively.",92,$45,Reserve,Cabernet Sauvignon,"Paso Robles, Central Coast, California, US",Edna Valley Vineyard,14.9%,750 ml,Red,12/31/2015,Not rated yet [Add Your Review],,
755,Balderdash 2014 Brakelight Syrah (Edna Valley),Matt Kettmann,"Dark-black-plum aromas are fresh but dense on the nose of this bottling, which also offers tarragon, tobacco and bay leaf scents. The eucalyptus streak is strong on the tip of the sip but then warms up into baked blackberry and black-cherry flavors.",89,$29,Brakelight,Syrah,"Edna Valley, Central Coast, California, US",Balderdash,14.5%,750 ml,Red,2/1/2019,Not rated yet [Add Your Review],,
756,Materra Cunat Family Vineyards 2010 Cunat Reserve Estate Grown Red (Oak Knoll District),,"This is a tightly wound wine, brimming with acids, tannins and oak that give structure to exceptionally rich, ripe fruit. The black currants and cherries have complex edges of minerals and anise, leading to a long, spicy finish. Don't even think of opening the bottle before 2017.",92,$80,Cunat Reserve Estate Grown,Bordeaux-style Red Blend,"Oak Knoll District, Napa, California, US",Materra Cunat Family Vineyards,13.9%,750 ml,Red,12/31/2013,Not rated yet [Add Your Review],,Cellar Selection
757,Red Stitch 2017 Sierra Mar Vineyard Pinot Noir (Santa Lucia Highlands),Matt Kettmann,"The complex nose of this bottling shows pomegranate, rose petals, strawberry and bay leaf aromas. The palate is very grippy and show deft restraint from a vineyard that can be quite ripe, offering nuanced flavors of hibiscus, pomegranate and anise.",92,$56,Sierra Mar Vineyard,Pinot Noir,"Santa Lucia Highlands, Central Coast, California, US",Red Stitch,14.7%,750 ml,Red,7/1/2019,Not rated yet [Add Your Review],,
758,Martin Ray 2017 Pinot Noir (Sonoma Coast),Virginie Boone,"Aromas and flavors of rhubarb and pomegranate dominate in this well-made, simply structured wine. It is softly layered in oak and balanced by bright acidity and juicy ripeness.",90,$35,,Pinot Noir,"Sonoma Coast, Sonoma, California, US",Martin Ray,13.8%,750 ml,Red,7/1/2019,Not rated yet [Add Your Review],,
759,Pazo de Barrantes 2006 Pazo Barrantes Albariño (Rías Baixas),Michael Schachner,"Almond, sherry and banana aromas start it out. The palate is mellow and smooth, with apple and touches of lemon. There's ring and some zing on the finish, but not too much as the wine is beginning to show signs of reaching early maturity. Drink immediately.",86,$23,Pazo Barrantes,Albariño,"Rías Baixas, Galicia, Spain",Pazo de Barrantes,13%,750 ml,White,8/1/2008,Not rated yet [Add Your Review],Maisons Marques & Domaines USA,
760,Steele 2016 Catfish Vineyard Centennial Vines Zinfandel (Lake County),Jim Gordon,"This excellent wine is bold in flavor and big in structure. It offers intense blackberry and black-cherry flavors framed by firm tannins and a full body. Light accents of chaparral, vanilla and cedar add extra interest and complexity.",92,$42,Catfish Vineyard Centennial Vines,Zinfandel,"Lake County, Lake County, California, US",Steele,14.8%,750 ml,Red,11/1/2020,Not rated yet [Add Your Review],,
761,Marchesi Gondi 2012 Mazzaferrata Red (Toscana),Kerin O’Keefe,"Earthy aromas of scorched earth, mocha and green bell pepper come together on this Cabernet Sauvignon. The dense, rather evolved palate offers prune, clove and toasted almond alongside close-grained tannins.",87,N/A,Mazzaferrata,"Red Blends, Red Blends","Toscana, Tuscany, Italy",Marchesi Gondi,13%,750 ml,Red,5/1/2019,Not rated yet [Add Your Review],Quigley Fine Wines,
762,Capataz 2012 Malbec (Mendoza),Michael Schachner,"Violet and floral boysenberry aromas show earthiness and leather after airing. This feels supple and deep, with just enough acidic lift. Toasty, blackened cassis and blueberry flavors show a hint of bacon, while toast, spice and chocolate flavors grace a solid finish. Drink through 2024.",92,$35,,Malbec,"Mendoza, Mendoza Province, Argentina",Capataz,14.5%,750 ml,Red,10/1/2015,Not rated yet [Add Your Review],Darioush Winery,
763,Viña Santa Cruz 2006 Chamán Gran Reserva Cabernet Sauvignon (Colchagua Valley),Michael Schachner,"Here's yet another very nice, ready-to-drink Cabernet from Chile. Tight and complete on the nose, with aromas of cassis, cherry and tar. The palate is packed deep with sweet cassis fruit, which is accented by tobacco and burnt sugar. Shows some unabsorbed oak and chocolate on the finish, but generally speaking it's in fine shape.",88,$20,Chamán Gran Reserva,Cabernet Sauvignon,"Colchagua Valley, Chile",Viña Santa Cruz,14.5%,750 ml,Red,12/31/2008,Not rated yet [Add Your Review],Continent Wines Inc,
764,Spring Valley Vineyard 2005 Uriah Red Wine Red (Walla Walla Valley (WA)),Paul Gregutt,"Purple and black fruits spread across the midpalate, with herbal, tannic flavors from the Franc and floral highlights from the PV. There is a bit of a hole in the middle, and the tannins seem to hit a bit hard following that drop-off. It could be a phase, or it could be a failing.",88,$50,Uriah Red Wine,"Red Blends, Red Blends","Walla Walla Valley (WA), Columbia Valley, Washington, US",Spring Valley Vineyard,N/A,750 ml,Red,7/1/2008,Not rated yet [Add Your Review],,
765,La Fenêtre 2008 À Côté Chardonnay (Santa Barbara County),,"Shows the ripe pineapple fruit, acidity, minerality and above all sweet, smoky oak that mark a rich California Chardonnay. But there's something off. Hard to say exactly what, but it's in the taste. Like a smattering of mold or shriveled grapes that's off-putting.",85,$25,À Côté,Chardonnay,"Santa Barbara County, Central Coast, California, US",La Fenêtre,14.1%,750 ml,White,8/1/2010,Not rated yet [Add Your Review],,
766,Ressia 2008 Canova  (Barbaresco),,"There's a tiny touch of raw apple or apple skin that gives this Barbaresco a bright, vertical, aromatic lift. That tiny volatility doesn't distract from the overall picture and base aromas of spice, cola and red fruit still manage to shine through just fine.",89,N/A,Canova,Nebbiolo,"Barbaresco, Piedmont, Italy",Ressia,N/A,750 ml,Red,9/1/2011,Not rated yet [Add Your Review],1_No Submitting Co,
767,Dorli Muhr 2017 Samt & Seide Blaufränkisch (Carnuntum),Anne Krebiehl MW,"A high note of pure, tart red cherry on the nose sets a tone of freshness and brightness. The palate adds lightness and creates a triple virtue of translucent, red-fruited charm. This is a very playful wine with a gorgeous emphasis on silkiness. A lovely whiff of white pepper adds a tingling note to the juicy red cherry on the finish. Lovely and elegant.",92,$21,Samt & Seide,"Blaufränkisch, Other Red","Carnuntum, Austria",Dorli Muhr,13%,750 ml,Red,3/1/2020,Not rated yet [Add Your Review],Black Lamb Wine,
768,Cellier des Princes 2016 La Chasse des Princes Red (Châteauneuf-du-Pape),Anna Lee C. Iijima,"Made from 90% Grenache, this decadent wine heaves with luscious black-cherry and violet-candy flavors. It's full bodied and plush but pristine in fruit quality. Very fine, persistent tannins and piquant spice extend the finish. Delicious already the wine should reach peak through 2026.",93,$39,La Chasse des Princes,Rhône-style Red Blend,"Châteauneuf-du-Pape, Rhône Valley, France",Cellier des Princes,15.5%,750 ml,Red,12/31/2019,Not rated yet [Add Your Review],USA Wine Imports,
769,David Hill 2007 Barrel Select Estate Pinot Noir (Willamette Valley),Paul Gregutt,"Wild berries, cranberries and pungent herbaceousness characterize this Barrel Select Pinot Noir. It seems a little light at first, then gathers itself in a focused, spicy midpalate that nicely integrates the fruit and herbs.",88,$28,Barrel Select Estate,Pinot Noir,"Willamette Valley, Willamette Valley, Oregon, US",David Hill,N/A,750 ml,Red,4/1/2010,Not rated yet [Add Your Review],,
770,Elio Filippino 2008 San Cristoforo  (Barbaresco),,"This deeply structured and layered Barbaresco delivers thick aromas of bitter chocolate, mature cherry, cola and leather. It's a young wine, with tight astringency and firm tannins, that needs to age another five years in the bottle before the wine is ready to drink.",90,N/A,San Cristoforo,Nebbiolo,"Barbaresco, Piedmont, Italy",Elio Filippino,N/A,750 ml,Red,9/1/2011,Not rated yet [Add Your Review],1_No Submitting Co,
771,Quinta do Casal Branco 2014 Lobo e Falcão Reserva Red (Tejo),Roger Voss,"This is a wood-aged blend of Alicante Bouschet, Syrah and Touriga Nacional, producing a wine that is both structured and ripe with black fruits. It has considerable acidity, spice along with some aging potential. Drink from 2018.",88,$20,Lobo e Falcão Reserva,Portuguese Red,"Tejo, Portugal",Quinta do Casal Branco,14%,750 ml,Red,6/1/2017,Not rated yet [Add Your Review],Lionstone International,
772,Torres de Anguix 2004 A  (Ribera del Duero),Michael Schachner,"Jumpy and young, with a touch of pickle on the nose. In the mouth, it's all about high-toned red fruit, particularly cherry and raspberry. Very bright and a bit acidic, but with that comes a certain freshness that keeps the wine alert. Should get better with some bottle age. Imported by Hand Picked Selections.",85,$10,A,"Tinto del Pais, Tempranillo","Ribera del Duero, Northern Spain, Spain",Torres de Anguix,13%,750ML,Red,4/1/2006,Not rated yet [Add Your Review],Hand Picked Selections,Best Buy
773,Alphonse Mellot 2016 Génération Dix-Neuf  (Sancerre),Roger Voss,"This wine celebrates the 19 generations (mostly called Alphonse) that have run this top Sancerre estate since the 17th century. The wine offers ripe fruit, bold quince and spice flavors, with hints of apricot. Structured and concentrated, it is a wine to savor, but not before 2019.",93,N/A,Génération Dix-Neuf,Sauvignon Blanc,"Sancerre, Loire Valley, France",Alphonse Mellot,13%,750 ml,White,12/1/2018,Not rated yet [Add Your Review],Elite Wines Import,
774,Château Lamothe de Haux 2016 Traditionnelle  (Cadillac Côtes de Bordeaux),Roger Voss,"Juicy with attractive black-currant flavors, this Chobart family wine is rich with tannins and fruitiness. Still firm and darkly textured, it needs time. Drink from 2022.",88,$16,Traditionnelle,Bordeaux-style Red Blend,"Cadillac Côtes de Bordeaux, Bordeaux, France",Château Lamothe de Haux,13.5%,750 ml,Red,2/1/2019,Not rated yet [Add Your Review],Polaner Selections,
775,Domaine Vincent Girardin 2011  Corton Perrières,Roger Voss,"Ripe, rich and full-bodied, this is a smooth, opulent wine. It has weight and tannins which give structure to the full fruit and delicious acidity. This is a wine to savor with its red berries, juicy flavor and generous aftertaste. Drink from 2017.",93,$88,,Pinot Noir,"Corton Perrières, Burgundy, France",Domaine Vincent Girardin,13.5%,750 ml,Red,6/1/2014,Not rated yet [Add Your Review],Vineyard Brands,
776,Ducleaux 2018 Pink Slip Rosé (Walla Walla Valley (WA)),Sean P. Sullivan,"This rosé of Grenache, Syrah and Mourvèdre is a very pretty pale-peach color. Aromas of cut apple, biscuit and gummy are followed by lightly styled, center-focused flavors. It pulls up on the finish.",88,$19,Pink Slip,Rosé,"Walla Walla Valley (WA), Columbia Valley, Washington, US",Ducleaux,12.9%,750 ml,Rose,10/1/2020,Not rated yet [Add Your Review],,
777,Jean-Marc Bernhard 2015 Wineck-Schlossberg Grand Cru Riesling (Alsace),Anne Krebiehl MW,"Enticingly bracing grapefruit freshness streams from the glass. The palate has a milder sort of freshness—think very ripe bright lemon notes. The flavors are pleasingly focused—sharp and clean, with dryness and a soaring freshness that lightens up everything. There is a wonderfully light touch here. It's a beautiful and totally refreshing wine. Drink 2017–2030.",94,$44,Wineck-Schlossberg Grand Cru,Riesling,"Alsace, Alsace, France",Jean-Marc Bernhard,13.5%,750 ml,White,12/1/2017,Not rated yet [Add Your Review],BPW Merchants,
778,Zepaltas 2012 Devoto Vineyard Pinot Noir (Sonoma Coast),Virginie Boone,"This remains a vineyard site to watch, a spot within the Sebastopol Hills section now widely being called West Sonoma Coast. The area is also known for heirloom apples, much of which go into artisanal cider. Weighty and inconceivably bright, the Pinot is layered in fresh cranberry and earthy pomegranate, dusted in baking spice and structured in firm tannins. About half of the wine went through whole-cluster fermentation.",91,$45,Devoto Vineyard,Pinot Noir,"Sonoma Coast, Sonoma, California, US",Zepaltas,14.1%,750 ml,Red,5/1/2015,Not rated yet [Add Your Review],,Editors' Choice
779,Wilson 2007 Dorothy's Vineyard Syrah (Dry Creek Valley),,"Frankly as sweet as Port, with sugary blackberry jam and chocolate-covered raisin flavors and high, brandied alcohol. Not bad for a dessert wine, but inappropriate for a table wine.",83,$30,Dorothy's Vineyard,Syrah,"Dry Creek Valley, Sonoma, California, US",Wilson,15.5%,750 ml,Red,12/31/2010,Not rated yet [Add Your Review],,
780,Pech Merle 2015 T-Bar-T Ranch Cabernet Franc (Alexander Valley),Virginie Boone,"Aromatically shy, in contrast to its showy tannins, this wine is huge in structure and weight, with a jammy core of black cherry and raspberry dusted in clove.",88,$55,T-Bar-T Ranch,Cabernet Franc,"Alexander Valley, Sonoma, California, US",Pech Merle,14.8%,750 ml,Red,12/31/2018,Not rated yet [Add Your Review],,
781,Familia Schroeder 2005 Saurus Patagonia Merlot (Neuquén),Michael Schachner,"Familia Schroeder is making good, restrained wines in Neuquén. This Merlot won't rock your world but it will deliver firm, fresh raspberry flavors, food-friendly acidity and solid tannins. And it's even got some chewy sweetness.",86,$9,Saurus Patagonia,Merlot,"Neuquén, Other, Argentina",Familia Schroeder,14%,750 ml,Red,10/1/2007,Not rated yet [Add Your Review],S Selections,Best Buy
782,Domaine Coteau 2002 Reserve Pinot Noir (Yamhill County),,"The cola scents characteristic of Oregon Pinot dominate the nose, leading into firm, plummy fruit with interesting layers of black raspberry and black cherry. Turns thin and tannic.",87,$34,Reserve,Pinot Noir,"Yamhill County, Willamette Valley, Oregon, US",Domaine Coteau,N/A,750ML,Red,11/1/2004,Not rated yet [Add Your Review],,
783,Simi 2016 Chardonnay (Sonoma County),Virginie Boone,"Reductive and sulfurous, this wine tastes of big oak, baked pineapple and hazelnut.",83,$18,,Chardonnay,"Sonoma County, Sonoma, California, US",Simi,13.5%,750 ml,White,12/1/2018,Not rated yet [Add Your Review],,
784,Firesteed 2014 Riesling (Willamette Valley),Paul Gregutt,"This wine, which includes a small amount of Gewürztraminer, is off dry, with powdered sugar, lime, Meyer lemon and orange creamsickle flavors.",87,$15,,Riesling,"Willamette Valley, Willamette Valley, Oregon, US",Firesteed,12.3%,750 ml,White,2/1/2018,Not rated yet [Add Your Review],,
785,Il Falchetto 2007 Bricco Paradiso  (Barbera d'Asti Superiore),,"Here's a mature expression of Barbera with ripe notes of blackberry, plum and dark fruit. The wine is dense and thickly extracted with a soft velvety texture and loads of oak influence. It will, no doubt, evolve into a beautiful wine in two or three more years: All the right elements are there and the wine seems poised for harmony and balance.",89,N/A,Bricco Paradiso,Barbera,"Barbera d'Asti Superiore, Piedmont, Italy",Il Falchetto,N/A,750 ml,Red,9/1/2010,Not rated yet [Add Your Review],International Gourmet,
786,Aljibes 2012 Viña Aljibes Cabernet  Sauvignon-Syrah-Cabernet Franc-Tempranillo Red (Vino de la Tierra de Castilla),Michael Schachner,"Plum and berry aromas are lively and come with a mild scent of animal fur. This blend of four grapes, led by Tempranillo, feels blocky and loosely defined, while flavors of plum, raspberry and a touch of herbal green finish spicy and woody. Will function best as an everyday wine.",88,$20,Viña Aljibes Cabernet  Sauvignon-Syrah-Cabernet Franc-Tempranillo,"Red Blends, Red Blends","Vino de la Tierra de Castilla, Central Spain, Spain",Aljibes,13%,750 ml,Red,8/1/2015,Not rated yet [Add Your Review],"Hidalgo Imports, LLC",
787,Fattoria di Basciano 2013  Chianti Rufina,Kerin O’Keefe,"Bright and earthy, this informal red offers aromas of dark-skinned berry, leafy underbrush, tilled soil and a whiff of clove that carry over to the easy-drinking palate. Racy acidity and mild, fleeting tannins provide the easygoing framework.",86,$17,,"Red Blends, Red Blends","Chianti Rufina, Tuscany, Italy",Fattoria di Basciano,13.5%,750 ml,Red,9/1/2015,Not rated yet [Add Your Review],HB Wine Merchants,
788,Bonazzi 2001  Amarone della Valpolicella Classico,,"There's a pretty smoky element to this wine that comes off as cured beef or bresaola backed by graphite and ground slate. From the faraway 2001 vintage, the wine boasts elegant tertiary aromas of cola, black licorice and candied fruit with some sweetness on the close. Drink now.",89,N/A,,"Corvina, Rondinella, Molinara, Italian Red","Amarone della Valpolicella Classico, Veneto, Italy",Bonazzi,15.5%,750 ml,Red,2/1/2011,Not rated yet [Add Your Review],1_Not Imported into US,
789,Duca di Salaparuta 2001 Colomba Platino White (Sicilia),Joe Czerwinski,"Mild toast aromas add a modern touch to this plump, viscous white that's built around a core of pear and lemon flavors. Seems as if it would be a good companion to oily Mediterranean fish dishes.",86,$16,Colomba Platino,White Blend,"Sicilia, Sicily & Sardinia, Italy",Duca di Salaparuta,12.5%,750ML,White,10/1/2003,Not rated yet [Add Your Review],"Aveniù Brands, Inc",
790,Merriam 2014 Bacigalupi Vineyard Chardonnay (Russian River Valley),Virginie Boone,"This wine is somewhat dull in texture and elusive in fruit, offering a strong sense of oak and sulfur.",84,$50,Bacigalupi Vineyard,Chardonnay,"Russian River Valley, Sonoma, California, US",Merriam,13.8%,750 ml,White,4/1/2018,Not rated yet [Add Your Review],,
791,Mauritson 2005 Sauvignon Blanc (Dry Creek Valley),,"Last year's bottling was a hard act to follow, but Mauritson's done it again. The vintage was cooler and this wine seems crisper and zestier but no less flavorful, bursting at the seams with ripe lemon, lime, peach and wildflower flavors. Turns as rich as honey on the finish, but it's a dry wine.",90,$16,,Sauvignon Blanc,"Dry Creek Valley, Sonoma, California, US",Mauritson,13.5%,750 ml,White,12/31/2006,Not rated yet [Add Your Review],,Editors' Choice
792,DFJ Vinhos 2013 Pedras do Monte Red (Lisboa),Roger Voss,This is a ripe and juicy blend of Cabernet Sauvignon and Tinta Roriz. The tannins are present although well integrated into the fine juicy red-fruit flavors. The wine is ready to drink.,87,$9,Pedras do Monte,Portuguese Red,"Lisboa, Portugal",DFJ Vinhos,12.5%,750 ml,Red,6/1/2016,Not rated yet [Add Your Review],Dionysos Imports Inc,Best Buy
793,Château Franc Pipeau 2010 Descombes  (Saint-Émilion),Roger Voss,"Very ripe, powerful and extracted, the wine has a bitter edge, a dark and tannic structure and a dense texture. With its edge of cocoa and layers of wood over the blackberry fruits, it's a wine that will need a while before drinking. Drink from 2016.",90,$35,Descombes,Bordeaux-style Red Blend,"Saint-Émilion, Bordeaux, France",Château Franc Pipeau,14%,750 ml,Red,12/1/2013,Not rated yet [Add Your Review],Cheval Quancard,
794,Felix Solis NV Prospero Grand Selection Rose Secco Sparkling (Spain),Michael Schachner,"Aromas of leafy red fruits and orange are flaky. This is cloying on the palate, but not without hope. Red-fruit flavors are sugary, while this offers plum and raspberry notes on a finish with notable residual sugar.",84,$12,Prospero Grand Selection Rose Secco,"Sparkling Blend, Sparkling","Spain, Spain Other, Spain",Felix Solis,11%,750 ml,Sparkling,11/1/2018,Not rated yet [Add Your Review],"Félix Solís Avantis USA, Inc",
795,Santa Helena 2001 Seleccion del Directorio Reserva Merlot (Central Valley),Michael Schachner,"Modest aromas of cola, mint and lemon peel are clean but hardly stellar. Flavors of cherry, plum and blackberry carry some spice and oak, while the finish is equally oaky and lasting. A touch acidic, but that helps propel the flavors.",86,$11,Seleccion del Directorio Reserva,Merlot,"Central Valley, Chile",Santa Helena,13.5%,750ML,Red,8/1/2004,Not rated yet [Add Your Review],Nembo Imports Ltd,Best Buy
796,De Grendel 2007 Merlot (Durbanville),Lauren Buzzeo,Medium-intense and herbal with notes of licorice root and cedar spice among the dark fruit and soft green-pepper flavors. It's easy to drink and well structured with moderate acid and soft but present tannins. A good amount of sweet woody spice lingers though the finish.,89,$27,,Merlot,"Durbanville, South Africa",De Grendel,14.5%,750 ml,Red,12/31/2010,Not rated yet [Add Your Review],MJM Imports,
797,Cantine Sant'Agata 2005 Aleta  (Barbera d'Asti Superiore),,"The nose is fresh, tasting of bright red summer fruits. On the palate, teh wine has a sweetness to it, but the fruit comes through strongly. Made in a modern but low impact style, it is a genial wine that invites gulping rather than sipping.",86,$22,Aleta,Barbera,"Barbera d'Asti Superiore, Piedmont, Italy",Cantine Sant'Agata,13.5%,750 ml,Red,12/31/2011,Not rated yet [Add Your Review],John Given Wines,
798,Sokol Blosser NV Evolution Sparkling (America),Paul Gregutt,"This Champagne-method bubbly uses seven different white wine grapes to create a bright, spicy, rather foamy and entirely tasty product. Lemon, orange, apple and pear fruit flavors abound, and the freshness and crisp definition make this a great mixer.",87,$22,Evolution,"Sparkling Blend, Sparkling","America, US",Sokol Blosser,12.5%,750 ml,Sparkling,7/1/2015,Not rated yet [Add Your Review],,
