,taster,desc,rating,Price,Designation,Variety,Appellation,Winery,Alcohol,Bottle Size,Category,Date Published,User Avg Rating,Importer,badge
580,Roger Voss,"The wine was fermented in open stone lagars, still the preferred method at many Douro quintas. That gives the color and the soft extraction in this ripe, sweet Port. It has enough tannins to balance the dried raisin and superripe plum flavors. While it has been bottled to drink now, the wine will benefit from aging. Drink from 2016.",90,N/A,Late Bottled Vintage,"Port, Port Blend","Port, Portugal",Quinta da Romaneira,19.5%,750 ml,Port/Sherry,12/1/2014,Not rated yet [Add Your Review],1_No Submitting Co,
581,Paul Gregutt,"Tart, young and focused, this brings cranberry and black cherry fruit forward, with a lively, spicy mouthfeel. Flavors are battened down with bracing acidity and firm tannins. Give this an hour or more of breathing time, or decant.",90,$55,Sims Vineyard,Pinot Noir,"Willamette Valley, Willamette Valley, Oregon, US",Rex Hill,13%,750 ml,Red,8/1/2016,Not rated yet [Add Your Review],,
582,Michael Schachner,"The candied red fruit on the nose is distinct and frankly quite likable. Forget about complexity, depth and edge with this wine and go straight for the sweet, sugary fruit that's pleasant as an ice cream sundae and about as difficult to consume.",85,$7,Tinto,"Red Blends, Red Blends","Campo de Borja, Northern Spain, Spain",Coto de Hayas,13%,750ML,Red,2/1/2006,Not rated yet [Add Your Review],The Marchetti Co,Best Buy
583,Joe Czerwinski,"This vintage of Cigale's GSM showcases more Grenache (63%) than in the past, which perhaps accounts for its slightly one-dimensional cherry fruitiness. Very supple, verging on syrupy in texture, it also shows a bit of warmth on the finish. Drink now–2012.",86,$19,Grenache-Mourvèdre-Shiraz,"G-S-M, Rhône-style Red Blend","Barossa Valley, South Australia, Australia",Cigale,14.5%,750 ml,Red,10/1/2009,Not rated yet [Add Your Review],The Australia-New Zealand Wine Connection,
584,Sean P. Sullivan,"Black currant, red apple, green pepper, cherry cordial and bittersweet chocolate aromas lead to plump, pleasing plum flavors. There's a lot to like.",88,$39,,Cabernet Sauvignon,"Horse Heaven Hills, Columbia Valley, Washington, US",Circle 66,14.2%,750 ml,Red,6/1/2019,Not rated yet [Add Your Review],,
585,Susan Kostrzewa,"Deeper and bolder than your average Finger Lakes rose, this wine is dry and fresh but a little tart on the palate. A good amount of acidity almost balances the fruit-forward, cherry character, but a slightly lighter touch would be more enjoyable.  Some oak adds sweetness.  A good summer wine.",84,$11,Petite Dry,Rosé,"Finger Lakes, Finger Lakes, New York, US",Sheldrake Point,12.8%,750 ml,Rose,2/1/2007,Not rated yet [Add Your Review],,
586,Kerin O’Keefe,"This fresh, light-bodied dessert wine opens with classic Moscato aromas of sage, exotic fruit and yellow stone fruit. The frothy palate delivers apricot, yellow peach and a hint of honey alongside mouthwatering acidity. It has a quenching crispness that stops it from being too sweet while the restrained alcohol makes it perfect for brunch and summer picnics.",89,$15,,"Moscato, Muscat","Moscato d'Asti, Piedmont, Italy",Gancia,5.5%,750 ml,Sparkling,12/1/2016,Not rated yet [Add Your Review],Russian Standard Vodka,
587,Sean P. Sullivan,Aromas of honeysuckle and ripe peach lead to lightly spritzy medium-sweet stone-fruit flavors. It provides easy-drinking appeal.,88,$9,Harvest Select Sweet,Riesling,"Columbia Valley (WA), Columbia Valley, Washington, US",Chateau Ste. Michelle,10.5%,750 ml,White,5/1/2017,Not rated yet [Add Your Review],,Best Buy
588,,"From Pride's estate 2,100 feet up in the Mayacamas, another in a string of impressive Viogniers. Follows the pattern of tempering the varietal's over the top character with barrel fermentation and lees aging. The result is a wine with the density of a big Chardonnay, but with Viognier's rich, yummy array of fruity flavors.",90,$40,,Viognier,"Sonoma County, Sonoma, California, US",Pride Mountain,N/A,750ML,White,6/1/2003,Not rated yet [Add Your Review],,
589,Sean P. Sullivan,"Cabernet Sauvignon makes up just over two-thirds of this blend with the balance Merlot, Malbec, Cabernet Franc and Petit Verdot. Aromas of vanilla, cocoa, dill and cherry lead to restrained fruit and barrel flavors, with the tannins showing some grit.",88,$48,Legacy,Bordeaux-style Red Blend,"Horse Heaven Hills, Columbia Valley, Washington, US",Columbia Winery,14.2%,750 ml,Red,3/1/2017,Not rated yet [Add Your Review],,
590,Joe Czerwinski,"A blend of 80% Grenache and 20% Mourvèdre from vines more than 50 years old, this is a creamy, lushly textured wine that features subtle hints of toast layered over black cherries and spice. Drink now.",89,$20,Vieilles Vignes,Rhône-style Red Blend,"Côtes du Rhône Villages, Rhône Valley, France",Domaine Les Aphillanthes,N/A,750 ml,Red,12/31/2009,Not rated yet [Add Your Review],Weygandt-Metzler,
591,Anne Krebiehl MW,"Hints of chalk and lemon are all that can be discerned on the shy nose of this wine. The palate adds saltiness to touches of toasted hazelnut but all remains subtle. Bright and vivid, the body is gently concentrated but beautifully fresh, with lovely balance.",90,$40,La Crée,Chardonnay,"Rully, Burgundy, France",Pascal Clément,13%,750 ml,White,8/1/2020,Not rated yet [Add Your Review],Valkyrie Selections,
592,Anne Krebiehl MW,Notes of yeast and pear on this wine's almost raw nose are immediate and fresh. The palate still carries that yeasty funk but blossoms into freshness with its supple mousse with tiny bubbles. A few more months of bottle age should make a real difference and bring out the inherent elegance.,90,$22,Brut,Chardonnay,"Crémant d'Alsace, Alsace, France",Domaine Gérard Neumeyer,13%,750 ml,Sparkling,11/1/2020,Not rated yet [Add Your Review],Multiple U.S. importers,
593,Roger Voss,"Earthy and rustic, this Pinot Noir is lightweight, with a hint of red cherry. There is an unpleasant bitter aftertaste.",80,$20,,Pinot Noir,"Alsace, Alsace, France",La Cave des Vignerons de Pfaffenheim,12%,750 ml,Red,12/1/2011,Not rated yet [Add Your Review],Serge Doré Selections,
594,Matt Kettmann,"Rounded apple, sliced pear and honeysuckle aromas are cut by a steely edge of wet gravel on the nose of this single-vineyard expression. There's a gravelly minerality to the sip at first, then riper red apple and nectarine come into play.",88,$17,Jardine Vineyard,Sauvignon Blanc,"Paso Robles, Central Coast, California, US",Vina Robles,14%,750 ml,White,3/1/2020,Not rated yet [Add Your Review],,
595,Matt Kettmann,"There's a noticeably sweet quality to this bottling that will appeal to some but turn off others. Spun sugar, buttercream, honeysuckle and orange mousse show on the nose, while the palate offers flavors of apple butter, brown sugar and lemon custard.",87,$32,Estate,Chardonnay,"Santa Lucia Highlands, Central Coast, California, US",Boekenoogen,14.4%,750 ml,White,11/1/2017,Not rated yet [Add Your Review],,
596,Roger Voss,Organic Cabernet Sauvignon and Tannat give this wine both its great fruit and its structure. It is a densely tannic wine with a solid core that then bursts out with black-currant and black-plum fruits. Intense acidity partners the concentrated fruit. Drink from 2020.,91,$15,Vieilles Vignes,"Tannat-Cabernet, Red Blends","Madiran, Southwest France, France",Domaine Capmartin,13.6%,750 ml,Red,7/1/2017,Not rated yet [Add Your Review],Becky Wasserman Selections,
597,Roger Voss,"Stalky, spicy and with a tannic core, this is classic, cool Cabernet Franc. Herbal flavors, black currants and lively acidity combine in a wine that is ready to drink.",87,$16,La Chapelle Vieilles Vignes,Cabernet Franc,"Anjou, Loire Valley, France",Château de Fesles,12.5%,750 ml,Red,1/1/2020,Not rated yet [Add Your Review],Serge Doré Selections,
598,Roger Voss,"A fresh, fruity style of rosé, with intense raspberry flavors, a touch of caramel and just a touch of acidity. It's fresh enough to last until the next sunshine hits in the spring. Imported by Metrowine Distribution.",86,$16,Le Canon du Maréchal Rosé,Grenache,"Vin de Pays d'Oc, Languedoc-Roussillon, France",Domaine Cazes,N/A,750ML,Rose,4/1/2005,Not rated yet [Add Your Review],Metrowine Distribution,
599,Anna Lee C. Iijima,"Complexities of smoke, saddle and charred garrigue juxtapose buoyantly ripe, juicy flavors of raspberry and blackberry here. It's full-bodied and gloriously fruity but tinged by just enough savory notes to maintain elegance. The finish is marked by firm, upright tannins. Delightful young but should hold through 2027.",92,$25,,Rhône-style Red Blend,"Rasteau, Rhône Valley, France",Domaine Elodie Balme,15%,750 ml,Red,12/31/2020,Not rated yet [Add Your Review],Louis/Dressner Selections,
600,Anne Krebiehl MW,"Juicy, ripe and intense peach notes dominate the nose of this wine. The palate continues in the same fashion but imbues the peach with phenolic bitterness that lends a welcome edge. This wine is sweet but precise, delivering a wonderful expression of spicy peach.",93,$40,Altenberg de Bergheim Grand Cru,"Gewürztraminer, Gewürztraminer","Alsace, Alsace, France",Domaine Fernand Engel,13%,750 ml,White,11/1/2019,Not rated yet [Add Your Review],Grape Expectations (CA),
601,Kerin O’Keefe,"Fragrant woodland berry, blue flower and cake spice aromas mingle with a balsamic menthol note. The concentrated but almost weightless palate offers juicy raspberry, fleshy black cherry, espresso and star anise alongside polished supple tannins.",92,$26,,"Red Blends, Red Blends","Vino Nobile di Montepulciano, Tuscany, Italy",Poliziano,N/A,750 ml,Red,4/1/2018,Not rated yet [Add Your Review],Dalla Terra Winery Direct,Editors' Choice
602,Paul Gregutt,"Creamy and dry, this outstanding effort boasts a wonderful array of tart green fruits—apples, citrus and berries— but goes the extra mile. A sharp, spicy edge is also evident, tasting like nothing so much as fresh pine needles, and the wine is loaded with creamy acids that set up the palate in much the same way that bone-dry Rieslings from Australia do.",91,$16,,Riesling,"Umpqua Valley, Southern Oregon, Oregon, US",Brandborg,13.1%,750 ml,White,4/1/2009,Not rated yet [Add Your Review],,
603,Roger Voss,"A broad, ripe wine, it is simply fruity with attractive lemon and grapefruit flavors, touched by gooseberries. It's tangy, textured and likely to age for a 2–3 years, but you can also drink now.",86,N/A,Les Moulins à Vent,Sauvignon Blanc,"Pouilly-Fumé, Loire Valley, France",Caves de Pouilly sur Loire,12.5%,750 ml,White,12/31/2013,Not rated yet [Add Your Review],D&M New World Management,
604,,"A soft wine with faint, sweet perfume notes on the nose. Tastes more like a Chardonnay or white blend. Simple, and could have some mainstream appeal with its slightly overripe hints and short, clean finish.",83,$10,,Sauvignon Blanc,"Robertson, South Africa",Robertson Winery,13%,750ML,White,12/31/2004,Not rated yet [Add Your Review],Indigo Wine Group,
605,Christina Pickard,"This wine offers loads of ripe pineapple, guava, tomato leaf and white pepper aromas. Zippy, bright acidity lifts the fruit on the palate although it's a little sour on the finish.",87,$13,Classic,Sauvignon Blanc,"Marlborough, New Zealand",Rapaura Springs,13.5%,750 ml,White,11/1/2019,Not rated yet [Add Your Review],Shaw-Ross International Importers,
606,Virginie Boone,"A beautifully rich and rewarding expression of tropical fruit and creamy texture, this estate white spends nine months in large French oak casks and is selected from the best lots. Supporting acidity keeps it refreshing in waves of lime and grapefruit.",92,$55,Essence Miljenko's Selection Estate Grown,Sauvignon Blanc,"Napa Valley, Napa, California, US",Grgich Hills,13.5%,750 ml,White,4/1/2017,Not rated yet [Add Your Review],,
607,Roger Voss,"This comes from the northern end of the line-up of Premier Crus, which shows in the lively, crisp and tightly fruity character of the wine. It is developing slowly, still controlled and with light hints of toast. It will be a beautiful, bright wine. Drink from 2019.",93,$90,Les Chaumées Premier Cru,Chardonnay,"Chassagne-Montrachet, Burgundy, France",Philippe Colin,13.5%,750 ml,White,10/1/2016,Not rated yet [Add Your Review],Cape Classics,
608,,"This is a pretty good Sangiovese and Acorn has worked hard on the variety for years. It's dry and elegant, with silky, Pinot-like tannins and crisp acids. It's also very ripe in cherry and cocoa flavors.",87,$22,Alegria Vineyards,Sangiovese,"Russian River Valley, Sonoma, California, US",Acorn,N/A,750ML,Red,3/1/2006,Not rated yet [Add Your Review],,
609,,"Dark, thick, soft and juicy, an amazingly flavorful wine with a depth of exotic flavors. Blackberry liqueur, dark chocolate, cherry jam, violet flower, charred beef bones and peppery spice flavors swirl together into a complex finish. But it's a tannic wine that needs time. Best after 2008.",88,$20,Estate,Pinotage,"Lodi, Central Valley, California, US",Vino Con Brio,15%,750 ml,Red,4/1/2007,Not rated yet [Add Your Review],,
610,Roger Voss,"As the wine's name indicates, it is made from century old vines, planted by a Burgundian who arrived in Portugal to escape World War One. The result is a wine of immense concentration, dark tannins and beautiful fruit. The vineyard is planted as a field blend, the grapes are fermented in traditional open stone lagares. It is a superb wine that deserves further aging. Drink from 2019.",94,$50,O Fugitivo Vinhas Centenárias,Portuguese Red,"Dão, Portugal",Casa da Passarella,13%,750 ml,Red,6/1/2017,Not rated yet [Add Your Review],"M Imports, LLC",
611,Roger Voss,"From three plots holding 75-year-old vines, this wine offers yellow fruits, apples and crisp pears. Plenty of fresh acidity gives it a crisp character, while the ripe fruit makes it refreshing and very ready to drink.",88,$36,Le Chenin Blanc,Chardonnay,"Mâcon-Verze, Burgundy, France",Nicolas Maillet,13%,750 ml,White,10/1/2016,Not rated yet [Add Your Review],Angel's Share Wines,
612,Paul Gregutt,"A round, fruit-laden take on southern Oregon Merlot, this has a tutti-fruity mix of bright and forward berry flavors. Barrel aging contributes spicy details in the finish.",87,$22,,Merlot,"Umpqua Valley, Southern Oregon, Oregon, US",Melrose,N/A,750 ml,Red,4/1/2010,Not rated yet [Add Your Review],,
613,Sean P. Sullivan,"The aromas of herb, kiwi and citrus are quite light. The tropical flavors are elegant and spritely, tingling the palate with a light effervescence.",86,$10,,Sauvignon Blanc,"Columbia Valley (WA), Columbia Valley, Washington, US",Chateau Ste. Michelle,13%,750 ml,White,12/31/2016,Not rated yet [Add Your Review],,Best Buy
614,Alexander Peartree,"An earthy barnyard tone melds with crushed peppercorn and violet on the nose, as tense red berries ride underneath. It's tangy and delicate on the palate, driven by tart strawberry and raspberry flavors that are framed by sandy tannins. Slicks of green herbal spice and wet stone arise on the finish.",85,$30,,"Nero di Troia, Italian Red","Puglia, Southern Italy, Italy",Valentina Passalacqua,12%,750 ml,Red,11/1/2020,Not rated yet [Add Your Review],1_No Submitting Co,
615,Roger Voss,"A blend of Savagnin and Chardonnay, this is now mature and has a strongly yeasty character. Nutty with vanilla and touches of wood aging, the wine has an oxidative, deliciously sipping character. Drink now.",92,$40,Tradition,White Blend,"Arbois, France Other, France",Domaine Rolet Père et Fils,13.5%,750 ml,White,7/1/2020,Not rated yet [Add Your Review],"Skurnik Wines, Inc",Editors' Choice
616,,"A bit over-oaked, with those buttery, caramelly aromas and flavors dominating the underlying apple tart fruit. But it's rich and complicated, offering up an array of oriental spices that pack a real punch on the finish.",87,$19,Starmont,Chardonnay,"Napa Valley, Napa, California, US",Merryvale,N/A,750ML,White,6/1/2004,Not rated yet [Add Your Review],,
617,,"Good price for an everyday white wine. The citron, pineapple, apple and honeysuckle flavors are a little sweet, but cleansed with brisk acidity.",84,$7,,Pinot Grigio,"California, California Other, California, US",Barefoot,13%,750 ml,White,9/1/2010,Not rated yet [Add Your Review],,Best Buy
618,,"This shows classic coastal crispness and delicacy, with a silkiness that makes it feel easy on the palate. It's also delicious in flavors of cherries, bacon, cola and spices. The blend happens to be fattened up by Sangiovese, Tempranillo and Syrah",86,$16,,Pinot Noir,"Monterey, Central Coast, California, US",MooBuzz,13.5%,750 ml,Red,11/1/2012,Not rated yet [Add Your Review],,Editors' Choice
619,Anne Krebiehl MW,"Funky, flinty smoky reduction casts a promising spell on the nose. Underneath, tart red apple and ripe, juicy citrus do their thing. The palate picks up both fruit and yeastiness, suggesting that this needs bottle age, but all the elements for the future are aligned: vivid, expressive fruit, lovely concentration and balanced, juicy freshness. The finish is dry and mouthwatering. Drink 2025–2040.",94,$65,Ried Gaisberg,Riesling,"Kamptal, Austria",Hirsch,12.5%,750 ml,White,3/1/2020,Not rated yet [Add Your Review],"Skurnik Wines, Inc",
620,,"Cherry liqueur, dark chocolate, espresso and blackberry preserves open the nose of this hearty selection. The finish is sweet and soft, with loads of chocolate fudge.",90,$100,Pergole Vece,"Corvina, Rondinella, Molinara, Italian Red","Recioto della Valpolicella Classico, Veneto, Italy",Le Salette,14%,500 ml,Dessert,12/1/2012,Not rated yet [Add Your Review],Vias Imports,
621,,"The heat of the vintage is vividly displayed in the superripe, almost stewed cherry and blackberry-pie filling flavors and soft mouthfeel of this dry wine. The best thing about it is the tannins, so smooth and finely ground.",86,$40,Black Glass Vineyard,Zinfandel,"Napa Valley, Napa, California, US",Benessere,14.6%,750 ml,Red,4/1/2007,Not rated yet [Add Your Review],,
622,Joe Czerwinski,"A rich, chocolaty Shiraz, with ample fruit to support the lashings of cedary oak. Dried spices and Christmas pudding aromas and flavors come close to being too much, but stay just this side of balanced. Drink now-2017.",92,$70,Green's Vineyard,Shiraz,"Barossa Valley, South Australia, Australia",Kilikanoon,15%,750 ml,Red,3/1/2010,Not rated yet [Add Your Review],Old Bridge Cellars,
623,Roger Voss,"This wine has rich, intense yellow fruit, orange marmalade and concentrated botrytis flavors. With all the elements in place, it is well poised to mature slowly and gently into a very fine wine. Its concentration is balanced by fresh fruit and and honey notes. Drink from 2023.",94,$74,,"Bordeaux-style White Blend, White Blend","Sauternes, Bordeaux, France",Château d'Arche,N/A,750 ml,Dessert,12/31/2017,Not rated yet [Add Your Review],Château d'Arche,
624,Paul Gregutt,"Currently owned by Anthony Beck, this well-established vineyard hits a high mark with this vintage. It's an all-around beautiful wine—perfectly structured, with a flavorful mix of cherry, iron, stone and citrus components. As the wine develops in the mouth further complexity emerges in the lightly earthy touches of sandalwood and spice.",95,$63,Abbott Claim Vineyard,Pinot Noir,"Yamhill-Carlton, Willamette Valley, Oregon, US",Ken Wright,13.4%,750 ml,Red,3/1/2021,Not rated yet [Add Your Review],,Editors' Choice
625,,"Made in the popular style, this is an enormously ripe, oaky wine. It floods the mouth with flavors of pineapple jam, vanilla custard, crème brûlée and smoky meringue flavors, brightened with acidity. Drink now.",87,$28,,Chardonnay,"Napa Valley, Napa, California, US",Cosentino,14.4%,750 ml,White,12/31/2009,Not rated yet [Add Your Review],,
626,Roger Voss,"Half-and-half Négrette and Syrah, this is typical blend for Fronton with its hints of the Mediterranean mixed in with a more Atlantic influence. The wine is soft and balanced with dusty tannins, red fruits and a perfumed aftertaste. Drink now.",89,$18,Les Complices,"Red Blends, Red Blends","Fronton, Southwest France, France",Château Laurou,13%,750 ml,Red,11/1/2016,Not rated yet [Add Your Review],PS Wines,
627,Roger Voss,"An aromatic wine full of acidity as well as crisp white fruits and zesty lemon, this is still young. Its tight freshness needs to open out to reveal a more nutty, ripe apple character. Drink from 2020.",88,$16,,"Gros and Petit Manseng, White Blend","Jurançon Sec, Southwest France, France",Château Jolys,14%,750 ml,White,11/1/2019,Not rated yet [Add Your Review],Baron Francois Ltd,
628,Mike DeSimone,"Dark garnet in the glass, this wine features aromas of black cherry, candle wax and freshly picked oregano. Soft tannins offer a foundation for flavors of cherry, cassis, mint, espresso bean and Mediterranean herbs. Fruit and savory notes continually make way for one another on the palate, concluding in an herbal and lemon zest finish.",89,$65,Superieur,Cabernet Sauvignon,"Galilee, Israel",Barkan,13.5%,750 ml,Red,2/1/2016,Not rated yet [Add Your Review],Royal Wine Corporation,
629,Roger Voss,"This is a beautiful wine with lemon and bitter-honey notes that exibits both balanced acidity and richness. Botrytis at the core shows amazing intensity with a palate that's concentrated and full. Citrus freshness dominates the long, lingering aftertaste. The wine should age well so drink from 2017.",94,N/A,Nummer 7 Trockenbeerenauslese,"Welschriesling, Other White","Burgenland, Austria",Kracher,10%,375 ml,Dessert,2/1/2014,Not rated yet [Add Your Review],Terlato Wines International,
630,Michael Schachner,"Aggressive smelling early on but then it settles on classy raspberry, cassis and herbs. The palate is very healthy, juicy, rich and big, but the flavors of dark berry fruit are subtle and smooth. Chunky, sweet and ripe on the finish. A Malbec to drink this winter. Only 300 cases produced.",90,$39,Cuartel 2 Marchiori Vineyard,Malbec,"Perdriel, Mendoza Province, Argentina",Marchiori & Barraud,14.3%,750 ml,Red,12/1/2009,Not rated yet [Add Your Review],Elixir Wine Group,
631,,"This Refosco (a native grape of northeast Italy) opens with plush, ripe fruit flavors and then follows with bitter acidity that comes as quite a surprise. Pair this wine with butter- or cheese-based dishes that will help diminish that sharp acidic bite.",84,$14,,"Refosco, Italian Red","Veneto, Veneto, Italy",La di Motte,12.5%,750 ml,Red,5/1/2011,Not rated yet [Add Your Review],Saranty Imports,
632,Joe Czerwinski,"With its attractive aromas and flavors of ripe cherries and subtle notes of pine and dried mint, this wine is immediately accessible without being simple. Likewise, in terms of texture, it's sturdy enough to last a few years, but not so tough as to be off-putting. Complex, flavorful and supple, it should be at its best through at least 2016.",90,$29,Province,Pinot Noir,"Marlborough, New Zealand",Astrolabe,14%,750 ml,Red,11/1/2014,Not rated yet [Add Your Review],Cannonball Wine Company,
633,,"With an eye for all the commercial sweet-spots, this is a Rosato sparkling wine made primarily with the fragrant Moscato grape (with 15% Malvasia). The wine is sweet in a saccharine, artificial way.",82,$13,Pink Moscato,"Sparkling Blend, Sparkling","Piedmont, Piedmont, Italy",Tosti,7%,750 ml,Sparkling,8/1/2013,Not rated yet [Add Your Review],Prestige Beverage Group,
634,Joe Czerwinski,"The Monster is approximately half Cabernet Sauvignon, with the rest a blend of Merlot (27%), Petit Verdot (12%) and Cabernet Franc (10%). Aromas and flavors are savory and slightly leathery, with a soft core of plum and cherry fruit, hints of cocoa and a long finish.",87,$30,Harry's Monster,Bordeaux-style Red Blend,"Yarra Valley, Victoria, Australia",Sexton,13.9%,750 ml,Red,12/31/2008,Not rated yet [Add Your Review],Old Bridge Cellars,
635,Paul Gregutt,"Though 2009 was a difficult vintage for Washington Merlot, this is a truly luscious wine. It welcomes the taster instantly with massive, generous fruit cloaked in toasty, chewy, mocha and caramel flavors. Tasted over the course of 48 hours, it held up well, developing broad, well-integrated flavors of berries to complement the hedonistic oak. Sure to be a favorite among all the current releases from Leonetti.",94,$70,,Merlot,"Walla Walla Valley (WA), Columbia Valley, Washington, US",Leonetti Cellar,14.3%,750 ml,Red,9/1/2011,Not rated yet [Add Your Review],,
636,Paul Gregutt,"This is a muscular, almost chewy Chardonnay; it tastes like a wine that has had a fair amount of skin contact. The phenolic texture is matched to fruit flavors of apple and Asian pear, with a little hint of bitterness. Well crafted and food ready.",88,$18,,Chardonnay,"Columbia Valley (WA), Columbia Valley, Washington, US",Wine o'Clock,13.9%,750 ml,White,6/1/2013,Not rated yet [Add Your Review],,
637,Matt Kettmann,"An amazingly vivid nose of cherry, eucalyptus and morning dew on wild fennel promises a stunning wine in this clonal combo from Morgan. The flavors aren't quite so mind-blowing, though, as basic fruit-punch elements meet with touches of peppercorn and nutmeg.",91,$34,Twelve Clones,Pinot Noir,"Santa Lucia Highlands, Central Coast, California, US",Morgan,14.3%,750 ml,Red,12/1/2014,Not rated yet [Add Your Review],,
638,Paul Gregutt,"This handsome new winery makes a worthy estate Syrah and a pleasant Cab Franc, but I was most utterly charmed with the Merlot, which includes Portteus grapes as well. Sweet cherry pie never tasted so good.",87,$15,,Merlot,"Yakima Valley, Columbia Valley, Washington, US",Windy Point,N/A,750ML,Red,11/1/2005,Not rated yet [Add Your Review],,
639,Michael Schachner,"Dark in color, this offers cherry and plum aromas that show a hint of oak. It's medium to full in body, with plum, raspberry and dry oak flavors. A mix of red fruit notes and oak concludes this robust Pinot Noir.",88,$15,Sibaris Gran Reserva,Pinot Noir,"Leyda Valley, Chile",Undurraga,13.5%,750 ml,Red,6/1/2018,Not rated yet [Add Your Review],Maritime Wine Trading Collective,
640,,"Tasty and tart, with interesting aromas of vanilla and lemon meringue pie. Strawberry flavors were zesty and accented with a little cedar. Drink and enjoy now.",85,$13,Reserva,"Red Blends, Red Blends","Rioja, Northern Spain, Spain",Marqués del Puerto,12.5%,750ML,Red,11/1/2002,Not rated yet [Add Your Review],Marie Brizard Wines & Spirits,
641,Lauren Buzzeo,"Draws you in with its brilliant ruby color and assertive bouquet of dark plum, black cherry and berry nuanced with menthol and dirt. A full, round mouthfeel and soft, fleeting tannins showcase the wine's solid balance, and the strong finish is not sweet or overdone.",87,$24,Kosher,Merlot,"Judean Hills, Israel",Psagot,13.5%,750 ml,Red,4/1/2008,Not rated yet [Add Your Review],Royal Wine Corporation,
642,Paul Gregutt,"This is two-thirds Cab Sauvignon and one-third Cab Franc. Very well constructed with soft, rich, broad fruit showing ripe raspberry and cherry flavors. Smooth and satiny through the long, satisfying finish. Despite its ripeness it retains just the right hint of cool-climate herb, adding interest and nuance to the finish.",92,$40,Deluge Red Wine,"Cabernet Blend, Bordeaux-style Red Blend","Yakima Valley, Columbia Valley, Washington, US",Lake Missoula,N/A,750ML,Red,8/1/2006,Not rated yet [Add Your Review],,
643,Paul Gregutt,"Januik is right on the money with this wine, which takes full advantage of its light, forward, pretty fruit, and accents it with precise, toasty oak and cinnamon spice. Flavorful and appealing, it's not a wine to age, but rather to delight in. —P.G.",88,N/A,,Cabernet Sauvignon,"Columbia Valley (WA), Columbia Valley, Washington, US",Januik Winery,N/A,750ML,Red,9/1/2004,Not rated yet [Add Your Review],,
644,Paul Gregutt,"Cherry red, aromatic with scents of crushed roses, strawberries and cherries, this brings a gentle touch of sweetness to the lush fruit flavors. It's pretty as can be, bursting with strawberry fruit, and a very good value. Drink chilled with mild cheeses.",90,$12,Pinot Noir,Rosé,"Willamette Valley, Willamette Valley, Oregon, US",High Pass,12%,750 ml,Rose,12/1/2017,Not rated yet [Add Your Review],,Best Buy
645,Michael Schachner,"Cola and foresty notes of cedar and earth accent a berry-fruit nose. This is a pumped-full Cabernet with tight tannins and a sense of extraction and saturation. Ripe, chocolaty dark-berry flavors are linear and pure. On the finish, this is firm but doesn't grate. Drink through 2021.",89,$20,Dama de Plata,Cabernet Sauvignon,"Maipo Valley, Chile",Cousiño-Macul,14%,750 ml,Red,10/1/2018,Not rated yet [Add Your Review],MundoVino–The Winebow Group,
646,Joe Czerwinski,"Rhône-based négociant Jean-Luc Colombo has crafted this fleshy, ripe and round rosé from a blend of 40% Syrah, 40% Mourvèdre and 20% Counoise. It's got plenty of cherry fruit, but that's balanced by hints of minerality and a touch of fresh lime on the finish.",88,$13,Rosé de Côte Bleue,Rosé,"Coteaux d'Aix-en-Provence, Provence, France",Jean-Luc Colombo,12.5%,750 ml,Rose,7/1/2008,Not rated yet [Add Your Review],Palm Bay International,Best Buy
647,Roger Voss,This wine offers richness in attractive red-berry flavors. The light-bodied palate has a juicy character.,86,$14,Nouveau Flower Label,Gamay,"Beaujolais, Beaujolais, France",Henry Fessy,13%,750 ml,Red,4/1/2020,Not rated yet [Add Your Review],Louis Latour Inc,
648,,"All tasters praised this wine for its plushness of flavor, delicate body and long, complex finish. Heaps of ripe cherries, toffee, vanilla and chocolate wrapped in a smooth, creamy-crisp texture.",88,$45,Durell Vineyard,Pinot Noir,"Sonoma Valley, Sonoma, California, US",Chateau St. Jean,14.4%,750ML,Red,11/1/2004,Not rated yet [Add Your Review],,
649,Jim Gordon,"A deep amber color and powerful aromas lead to fruity-nutty flavors, very full body and a nutty, Bourbon-barrel finish. This very assertive, fortified style of wine should taste great after dinner.",86,$32,Oro De Tolo,"Verdelho, Spanish White","California, California Other, California, US",Helwig,17%,750 ml,Dessert,11/1/2016,Not rated yet [Add Your Review],,
650,Roger Voss,"Quite a dry wine, with stalky black currant fruits, tannins and acidity. The wine is balanced, its dryness contrasting with red berry jam fruits. The aftertaste is soft.",87,N/A,Maynard's Finest Reserve,"Port, Port Blend","Port, Portugal",Barão de Vilar,N/A,750 ml,Port/Sherry,12/31/2011,Not rated yet [Add Your Review],1_Not Imported into US,
651,,"This is Everyman's Shiraz, made to appeal to the masses—and appeal it does with bouncy mixed fruit, medium body and judicious oak. The nose, too, will reel the crowds in, with its jammy grape and raspberry fruit.",85,$12,Diamond Label,Shiraz,"South Eastern Australia, Australia Other, Australia",Rosemount,14.5%,750ML,Red,10/1/2003,Not rated yet [Add Your Review],Southcorp Wines,
652,Kerin O’Keefe,"This offers aromas suggesting mature apple, citrus, hazelnut and a whiff of dried herb. The rich, full-bodied palate doles out candied nectarine zest and ripe pear while a mineral note lifts the finish.",89,$25,Taburno,"Greco, Italian White","Sannio, Southern Italy, Italy",Fattoria La Rivolta,13.5%,750 ml,White,8/1/2016,Not rated yet [Add Your Review],T. Edward Wines Ltd,
